BAG ID,Lot #,Variant #,Volume(mL),Volume(mL),Notes
C1,2197,1,7.0 ,7.0 ,
C1,2711,1,5.0 ,,
C1,3001,1,2.0 ,47.0 ,
C1,3001,3,14.0 ,,
C1,3015,3,2.5 ,,
C1,3015,4,2.0 ,,
C1,3050,1,9.5 ,,
C1,3137,1,17.0 ,,
C1,3137,2,12.0 ,,
C1,3148,18, ,,
C1,3148,20,5.5 ,11.5 ,
C1,3150,1,2.0 ,3.0(UNDILUTED),
C1,3294,1,5.0 ,,
C1,3294,2,5.0 ,,
C1,3295,7,3.0 ,,
C1,3295,8,4.0 ,,
C1,3295,10,3.0 ,,
C1,3311,7,,,
C1,3311,13,,,
C1,3315,1,,,
C1,3321,1,,,
C1,3321,2,,,
C1,3321,3,?,7.5 ,
C1,3323,1,,,
C1,3323,3,,,
C1,3323,2,,,
C1,3333,1,4.0 ,,
C1,3345,2,,,
C1,3346,9,,,
C1,3346,10,,,
C1,3362,4,,,
C1,3362,5,,,
C1,3362,6,,,
C1,3362,7,,,
C1,3362,9,,,
C1,3362,11,,,
C1,3368,3,,,
C1,3386,1,,,
C1,3386,2,,,
C1,3386,3,,,
C1,3386,4,,,
C1,3386,5,,,
C1,3386,6,,,
C1,3387,1,2.0 ,11.0 ,
C1,3390,1,,,
C1,3390,2,,,
C1,3391,1,,,
C1,3393,1,,,
C1,3405,1,,,
C1,3405,2,,,
C1,3405,5,2.5 ,,
C1,3555,1,,,
C1,3591,1,,,
C1,3598,1,,,
C1,3600,1,5.0 ,,
C1,3638,5,,,
C1,3711,9,,,
C1,3718,1,,,
C1,3718,2,,,
C1,3718,3,,,
C1,3722,1,1.0 ,1.0 ,
C1,3722,2,2.5 ,,
C1,3722,3,2.0 ,1.0 ,
C1,3730,1,,,
C1,3754,1,,,
C1,3777,2,,,
C1,3778,1,,,
C1,3783,1,4.0 ,,
C1,3784,2,20.0 ,,
C1,3810,1,35.0 ,,
C1,3785,2,6.0 ,,
C1,3790,2,,,
C1,3795,1,5.0 ,,
C1,3795,2,25.0 ,,
C1,3798,2,,,
C1,3810,2,2.0 ,,
C1,3810,3,,,
C1,3810,4,,,
C1,2959,1,5.0 ,25.0 ,
C1,2959,5,4.0 ,, 
C1,3784,1,2.0 ,,
C1,3785,1,13.0 ,,
C2,788,2,3.0 ,,
C2,1644,4,1.0 ,,
C2,2261,6,2.0 ,,
C2,2808,1,3.0 ,,
C2,2808,4,1.5 ,,
C2,2808,2,9.5 ,,
C2,2808,3,12.0 ,,
C2,2808,1,4.0 ,,
C2,3018,6,10.0 ,,
C2,3039,4,2.0 ,,
C2,3039,5,3.0 ,,
C2,3039,6,4.0 ,,
C2,3044,1,7.0 ,,
C2,3044,2,6.0 ,,
C2,3086,1,6.0 ,,
C2,3103,1,2.0 ,,
C2,3149,3,,,
C2,3153,1,,,
C2,3153,2,1.8 ,1.5 ,
C2,3153,3, ,,
C2,3162,1,3.0 ,,
C2,3162,2,,,
C2,3162,3,1.5 ,,
C2,3178,2,,,
C2,3178,3,,,
C2,3187,3,1.0 ,,
C2,3191,1,6.0 ,,
C2,3191,4,,,
C2,3195,1,,,
C2,3234,1,,,
C2,3234,2,,,
C2,3238,1,2.0 ,,
C2,3238,2,2.5 ,,
C2,3238,3,,,
C2,3238,4,,,
C2,3238,5,3.5 ,,
C2,3238,6,,,
C2,3238,7,,,
C2,3238,11,,,
C2,3238,12,5.0 ,,
C2,3238,13,,,
C2,3238,14,,,
C2,3242,7,,,
C2,3257,1,,,
C2,3257,2,,,
C2,3260,2,,,
C2,3262,1,3.0 ,,
C2,3262,4,,,
C2,3262,5,,,
C2,3287,1,,,
C2,3287,3,,,
C2,3287,7,5.5 ,,
C2,3287,9,,,
C2,3287,10,,,
C2,3288,1,,,
C2,3290,1,,,
C2,3290,2,,,
C2,3292,1,1.0 ,,
C2,3292,2,,,
C2,3374,1,8.0 ,,
C2,3374,2,6.5 ,,
C2,3374,3,10.0 ,9.5 ,
C2,3374,4,2.0 ,,
C2,3374,5,8.0 ,,
C2,3374,6,1.5 ,,
C2,3374,7,16.0 ,,
C2,3374,8,2.0 ,,
C2,3420,3,3.0 ,,
C2,3426,1,5.0 ,,
C2,3426,3,2.0 ,,
C2,3429,1,,,
C2,3431,2,3.0 ,,
C2,3433,14,3.0 ,,
C2,3438,5,3.0 ,,
C2,3450,2,1.0 ,,
C2,3450,4,2.0 ,,
C2,3450,6,2.0 ,,
C2,3450,9,2.0 ,,
C2,3450,11,4.0 ,,
C2,3472,1,9.0 ,,
C2,3473,1,1.0 ,,
C2,3473,2,5.0 ,,
C2,3473,3,4.0 ,,
C2,3473,4,2.0 ,,
C2,3473,6,2.0 ,,
C2,3480,2,1.0 ,,
C2,3487,1,1.0 ,,
